text	label
yau tayima 10 don haka kuzo ku raba fada kafin arewa twitter ta kama da wuta domin yanzu anje hutun half time 	negative
ku kamar daki kai hausawa ne pa ke kallan film din hausa anma ida xa ku tallata film din sai kuyi da turanchi 	negative
gaskiya minister of lying affairs 	negative
bro must you speak english ka mana da hausa tinda turancin sai a slow 	negative
ni ko kadan hakan bai bani mamaki ba domin kuwa vazu dauki rayukan yankin arewa a baki komai ba hakan ya kara tabbatar mana da mulkin kama karya ake yi mana allah ya kaimu lokacin zabe maga shegen da zai zo mana arewa campaign 	negative
ku kamar daki kai hausawa ne pa ke kallan film din hausa anma ida xa ku tallata film din sai kuyi da turanchi 	negative
continue to deceive yourself   i so pity you when you would have been roundly defeated wallahi	negative
mbuhari my pvc will speak for me not all this online hogwashing   baba 2019	negative
za dai a nuna mana recording maganar sa bayan an tattace maganan hoto ne a kan mulkin najeria ba buhari ba dementia ne yake damun buhari mu dai yanzu damuwar mu tsarone wanda kuma buhari ya gaza ba mu sai karya yake ta mana ta yau daban ta gobe daban 	negative
yayie tsada kudien uwarsu ne zaa dieba mtws kawae mu amana aekie at any cost	negative
meyasa bazai koya a nigeria ba kodan mu naira muke kashewa ba dollar  ba	negative
this is a brutal story of d exploitation of almajiri neglected street kids in nigeria   you  ll weep when you watch	negative
to ai ko kaji mutin ke dasu yawayi gari ankashe 40plus out of them wlh seya fita farautar wanda yayi masa wannan aikin can u believe it theyre all human dear pls resign youre nothing to us but a living dead body shame on you and your administration	negative
kutumàr uba dama basa sawa  wayyo allah nayi missing wlh	negative
please ina da tambaya wannan matar ta fara shan ganyen wuiwui ne	negative
danda nafara shirin yin protest 	negative
wia re obj atiku pdp govs that deliberately visited benue on sighting religious leaders re killed juz to invoke religion allah dai ya kyauta	negative
wannan ai shirme ne ina amfanin ilimin nashi gaskiya ya bamu kunya fisabillahi	negative
nacebashin videon dakayi posting yanxu a sakamin na hamsin a leda kasa yaji da mai anacen ana kashe bayin allah a kudu su davido da runtown sai kara kunna wutar suke yayinda kaikuma kake mana wani posted video nabi video da gudu kata kata har zariya	negative
gaskiya buhari ya yaki talauci dongashi kayi kyau sosai kuma duk kayi kiba dakuma kuzari gwamnati tayi dadi zanzo ace muga pictures dinka na 2012131415 a comparing dana yanxu buhari yana aiki wadansu suna jin dadi long live with the president 	negative
durun uwar bomb din kutumar ubanku dakai da fresh emir din da diyan shegun dasukayi wakan da mixer din da wanda yyi mastering wakar uwar babanku duka dan uwarku bazaku iya supporting better thing for we youths ba amma kunaso mu saurare ku duk kunci uban babanku duka	negative
allah ya karanext time tayi mata kunfu	negative
dan uwarki wane zai sa sai ki canza mai ko tin da kece mr president in wawaiya kawai baki ki shin ka sarki dabba dake mtww	negative
a dandaqe yan iska muggai wanda basu ganin annabi da izinin allah shegun banza yan kutumar uba yan cikin wutar saqar marasa mutunci  its very painful to even think about it wlhy allah ya sakawa duk wacce aka zalunta da gaggawa ameen	negative
sai akaisa lab ayimasa test na vampire	negative
wasu yan mata a body schools sun kira wani mai alewa da nufin xasu masa juyel ya shiga cikin hostel suka tseyi alewan gaba daya sukace sai ya musu wani abu yace me sukace jimai yace aa suka rufe kofa suka danneci suka masa fyade sabida yawansu sai da ya mutu	negative
shashancin banza kenan mask din da ko asibitoci bai isa ba har yanxu nema suke wai zaa rabawa mutane qaryar banza kawai 	negative
kaji dan tsiya wato shidai trump so yake kan yabar office yatabbatar wasu sunji jiki 	negative
wahala dey for who live in kaduna 	negative
you know nothing rahama sadau 	negative
 aikin banza some people will wonder why nake dariya	negative
see our beloved  orphan  atiku    alongside his dearly beloved mother   kande in the early 1970s   yet he lied to us   allah is seeing you	negative
sesu koma suci kudadan mu da suka sata idan sunce lahira subi ta dakin bulala muna leko su ta window muna musu gwalo 	negative
wato harkun shirya rubuta yawan wadanda zasu kamu da ita may be ma kun rigada kunsan wadanda zata kama 	negative
just take a look at your ass wai duk wani mai ji da kanshi nan yayi sai kace wani barewa college 	negative
a nigeria so akeyi tayi magana kawai amma se da akayi protests 	negative
mad oo bbc kumafa sai a hankali wlhy	negative
ubanki yaci nisan kwana ya mutu allah yace wa lan yuakkhirallahu nafsan izaa jaaaajaluhaa rubbish	negative
uwar me suke jira you	negative
there no standard anywhere bro pdp isnt setting any standard neither apc is doing any shit allah look after this country	negative
tohh fah gayya tan mu kekeyi muga wata version na shegantaka ki toh anki kallo	negative
if the beginning of 2018 is like this what will happen when they start their election wahala	negative
wai wanke jersey allah ya isa	negative
da fatan ba zai yi karewa irin na sabon salo bapls tallace tallace suna yawa yayin kallon its really boring	negative
while you are hailing baba and his demented ig   know that three strategic meetings were held today	negative
ana kashe alummarka amman babu abunda yaima zafi ta birthday  kawai kake yi allah ya saka muna	negative
akwai kuskuren rubutu a wannan headline din 	negative
what a movie  rariya zainabu abbu tana fada da faiza	negative
meyasa bakuce mun ragargazasu ba amma da man city suka cinyemu har wani fadi kuke da ihu city taragargaza real madrid i hate nonsense 	negative
wllhy allah bazai taba gafarta matava indai bataje ta cire pics din dasuka jawo batanci ga fiyyayen halinta wllhy  wannan fa janabin annabi aka taba kune kuke ganinsa karamin laifi allah wllhy baya kyale wanda yataba annabi 	negative
nabi commitin duba wata na zabga musu bulalar belt din engimin markade	negative
karya suke wlh ina government house akayi fa mtswww 	negative
wace irin rashin lafiya ke dashi dont tell me corona	negative
why is apc defending the transmission igpidris as though he s an apc munafukai kawai	negative
kai allah wadaran naka ya lalace aidama appointments kawai sukayi isu isu  ana ta kashe mutane amma ko ajikinsu aikin banza	negative
kaji yan kutumar uba ai kuwa akwai dadi ka dannama mutum ashar musamman kayimai irin mai steps dinnan like uban babanka	negative
kai allah wadaran naka ya lalace aidama appointments kawai sukayi isu isu  ana ta kashe mutane amma ko ajikinsu aikin banza	negative
innalillahi wainna ilaihirrajiun  gwamnati wai kina ina ne dan allahwace irin rayuwa ce haka shikenan kullum talaka shine a wahala ance mu koma gona muka ce to yanzu km mun koma yan bindiga sun saka haraji anya kuwa kuna so kabarin ku yayi haske wannan wace irin masifa ce	negative
lol smh wallahi dai banga abun shaawa anan ba da na tsaya sauraran wanan abun gara kaimun bulala 30 zaifimun	negative
inconclusive wuta  uban abba	negative
this baba atiku delivered a scathing remark during presidential primaries in 2011 against gej	negative
